Implement,Test ID,EUDI class,Credimi ready,CAW,MI,MV,MTSL,WU,CDV,Visual evidence,FCAF area,EUDI profile,SUT,Mock/tools raw,Notes,Other fields,Source check
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_003.md"",""WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_003"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_date_format; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented, test.WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_001; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_004.md"",""WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_004"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_valid_date; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented, test.WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_001; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_001.md"",""WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_001"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.namespace_element_present; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_002.md"",""WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_002"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.element_date_encoding; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented, test.WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_001; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_003.md"",""WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_003"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.element_date_format; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented, test.WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_001; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_004.md"",""WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_004"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.element_valid_date; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented, test.WS_RP_DM_Credentialmetadata_Expirydate_PID_ISO-mdoc_001; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingauthority_PID_IETF-sd-jwt-vc_001.md"",""WS_RP_DM_Credentialmetadata_Issuingauthority_PID_IETF-sd-jwt-vc_001"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_present; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingauthority_PID_IETF-sd-jwt-vc_002.md"",""WS_RP_DM_Credentialmetadata_Issuingauthority_PID_IETF-sd-jwt-vc_002"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_utf8_string; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented, test.WS_RP_DM_Credentialmetadata_Issuingauthority_PID_IETF-sd-jwt-vc_001; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingauthority_PID_ISO-mdoc_001.md"",""WS_RP_DM_Credentialmetadata_Issuingauthority_PID_ISO-mdoc_001"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.namespace_element_present; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingauthority_PID_ISO-mdoc_002.md"",""WS_RP_DM_Credentialmetadata_Issuingauthority_PID_ISO-mdoc_002"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.element_utf8_string; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented, test.WS_RP_DM_Credentialmetadata_Issuingauthority_PID_ISO-mdoc_001; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingcountry_PID_IETF-sd-jwt-vc_001.md"",""WS_RP_DM_Credentialmetadata_Issuingcountry_PID_IETF-sd-jwt-vc_001"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_present; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingcountry_PID_IETF-sd-jwt-vc_002.md"",""WS_RP_DM_Credentialmetadata_Issuingcountry_PID_IETF-sd-jwt-vc_002"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_utf8_string; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented, test.WS_RP_DM_Credentialmetadata_Issuingcountry_PID_IETF-sd-jwt-vc_001; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingcountry_PID_IETF-sd-jwt-vc_003.md"",""WS_RP_DM_Credentialmetadata_Issuingcountry_PID_IETF-sd-jwt-vc_003"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_country_code; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented, test.WS_RP_DM_Credentialmetadata_Issuingcountry_PID_IETF-sd-jwt-vc_001; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingcountry_PID_ISO-mdoc_001.md"",""WS_RP_DM_Credentialmetadata_Issuingcountry_PID_ISO-mdoc_001"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.namespace_element_present; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingcountry_PID_ISO-mdoc_002.md"",""WS_RP_DM_Credentialmetadata_Issuingcountry_PID_ISO-mdoc_002"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.element_utf8_string; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented, test.WS_RP_DM_Credentialmetadata_Issuingcountry_PID_ISO-mdoc_001; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Issuingcountry_PID_ISO-mdoc_003.md"",""WS_RP_DM_Credentialmetadata_Issuingcountry_PID_ISO-mdoc_003"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.element_country_code; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented, test.WS_RP_DM_Credentialmetadata_Issuingcountry_PID_ISO-mdoc_001; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/IdentifyingData/WS_RP_DM_IdentifyingData_Birthdate_PID_IETF-sd-jwt-vc_001.md"",""WS_RP_DM_IdentifyingData_Birthdate_PID_IETF-sd-jwt-vc_001"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / IdentifyingData,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_present; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/IdentifyingData/WS_RP_DM_IdentifyingData_Birthdate_PID_IETF-sd-jwt-vc_002.md"",""WS_RP_DM_IdentifyingData_Birthdate_PID_IETF-sd-jwt-vc_002"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / IdentifyingData,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_utf8_string; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented, test.WS_RP_DM_IdentifyingData_Birthdate_PID_IETF-sd-jwt-vc_001; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
